destinationOddCore,startSource,endSource,length
1,1,341,5
5,3,853,5
7,9,2389,5
11,7,469,4
13,17,1109,4
17,11,725,4
19,25,405,3
23,15,981,4
25,33,533,3
29,19,309,3
31,41,2645,4
35,23,1493,4
37,49,789,3
41,27,437,3
43,57,917,3
47,31,501,3
49,65,261,2
53,35,565,3
55,73,293,2
59,39,629,3
61,81,1301,3
65,43,693,3
67,89,357,2
71,47,757,3
73,97,389,2
77,51,821,3
79,105,421,2
83,55,885,3
85,113,453,2
89,59,3797,4
91,121,485,2
95,63,1013,3
97,129,2069,3
101,67,269,2
103,137,549,2
107,71,285,2
109,145,581,2
113,75,1205,3
115,153,613,2
119,79,317,2
121,161,645,2
125,83,1333,3
127,169,677,2
131,87,1397,3
133,177,709,2
137,91,365,2
139,185,741,2
143,95,6101,4
145,193,773,2
149,99,397,2
151,201,805,2
155,103,413,2
157,209,3349,3
161,107,429,2
163,217,869,2
167,111,1781,3
169,225,901,2
173,115,7381,4
175,233,933,2
179,119,477,2
181,241,965,2
185,123,493,2
187,249,997,2
191,127,509,2
197,131,525,2
199,265,1061,2
203,135,541,2
205,273,4373,3
209,139,557,2
215,143,573,2
217,289,1157,2
221,147,589,2
227,151,605,2
233,155,621,2
235,313,1253,2
239,159,637,2
245,163,653,2
251,167,669,2
253,337,1349,2
257,171,685,2
263,175,701,2
269,179,717,2
271,361,1445,2
275,183,733,2
281,187,749,2
287,191,765,2
293,195,781,2
299,199,797,2
305,203,813,2
307,409,1637,2
311,207,829,2
317,211,845,2
323,215,861,2
329,219,3509,3
335,223,893,2
341,227,909,2
347,231,925,2
353,235,941,2
359,239,957,2
361,481,1925,2
365,243,3893,3
371,247,989,2
383,255,1021,2
389,259,1037,2
407,271,1085,2
415,553,2213,2
425,283,1133,2
443,295,1181,2
461,307,1229,2
469,625,2501,2
479,319,1277,2
491,327,1309,2
497,331,1325,2
505,673,2693,2
515,343,1373,2
533,355,1421,2
545,363,1453,2
551,367,1469,2
577,769,3077,2
581,387,1549,2
587,391,1565,2
605,403,1613,2
637,849,3397,2
641,427,1709,2
653,435,1741,2
695,463,1853,2
749,499,1997,2
767,511,2045,2
797,531,2125,2
803,535,2141,2
911,607,2429,2
991,1321,5285,2
1073,715,2861,2
1139,759,3037,2
1235,823,3293,2
1253,835,3341,2
1397,931,3725,2
1883,1255,5021,2
2045,1363,5453,2
2125,2833,11333,2
2153,1435,5741,2
2287,3049,12197,2
2369,1579,6317,2
2711,1807,7229,2
3827,2551,10205,2
3893,2595,10381,2
4465,5953,23813,2
4703,3135,50165,3
8807,5871,23485,2
8953,11937,47749,2
12197,8131,32525,2
31313,20875,83501,2
